$Temperature file for segment 85
To the right of the sum of temperatures are individual temperatures starting with QWD then QSTR
JDAY,T(C),
    17.957,    5.43,
    17.978,    5.43,
    17.999,    5.42,
    18.020,    5.42,
    18.041,    5.42,
    18.062,    5.43,
    18.083,    5.43,
    18.104,    5.44,
    18.125,    5.47,
    18.146,    5.50,
    18.167,    5.51,
    18.188,    5.50,
    18.209,    5.49,
    18.230,    5.48,
    18.251,    5.47,
    18.272,    5.46,
    18.293,    5.45,
    18.314,    5.45,
    18.335,    5.44,
    18.356,    5.44,
    18.377,    5.44,
    18.398,    5.44,
    18.419,    5.44,
    18.440,    5.45,
    18.461,    5.47,
    18.482,    5.50,
    18.503,    5.53,
    18.524,    5.56,
    18.545,    5.59,
    18.566,    5.61,
    18.587,    5.64,
    18.608,    5.67,
    18.629,    5.69,
    18.650,    5.72,
    18.671,    5.73,
    18.692,    5.73,
    18.713,    5.73,
    18.734,    5.72,
    18.755,    5.70,
    18.776,    5.68,
    18.797,    5.66,
    18.818,    5.63,
    18.839,    5.61,
    18.860,    5.59,
    18.881,    5.57,
    18.902,    5.56,
    18.923,    5.54,
    18.944,    5.53,
    18.965,    5.53,
    18.986,    5.52,
    19.007,    5.51,
    19.028,    5.51,
    19.049,    5.51,
    19.070,    5.51,
    19.091,    5.51,
    19.112,    5.50,
    19.133,    5.50,
    19.154,    5.50,
    19.175,    5.49,
    19.196,    5.49,
    19.217,    5.49,
    19.238,    5.48,
    19.259,    5.48,
    19.280,    5.48,
    19.301,    5.47,
    19.322,    5.47,
    19.343,    5.47,
    19.364,    5.47,
    19.385,    5.47,
    19.406,    5.48,
    19.427,    5.48,
    19.448,    5.48,
    19.469,    5.49,
    19.490,    5.51,
    19.511,    5.53,
    19.532,    5.56,
    19.553,    5.58,
    19.574,    5.62,
    19.595,    5.66,
    19.616,    5.70,
    19.637,    5.74,
    19.658,    5.77,
    19.679,    5.79,
    19.700,    5.80,
    19.721,    5.80,
    19.742,    5.81,
    19.763,    5.81,
    19.784,    5.79,
    19.805,    5.78,
    19.826,    5.77,
    19.847,    5.75,
    19.868,    5.73,
    19.889,    5.72,
